Name         ,r_det,r_min,z     ,rho_0  ,r_c  ,r_s   ,alpha,beta ,epsilon,gamma,T0   ,rt  ,a    ,b   ,c   ,Tmin  ,r_cool,a_cool
A133         ,1100 ,40   ,0.0569,188839 ,94.6 ,1239.9,0.916,0.526,4.943  ,3    ,3.61 ,1420,0.12 ,5.00,10.0,0.9747,57    ,3.88
A262         ,450  ,10   ,0.0162,91429  ,70.7 ,365.6 ,1.712,0.345,1.760  ,3    ,2.42 ,350 ,-0.02,5.00,1.1 ,1.5488,19    ,5.25
A383         ,800  ,25   ,0.1883,290021 ,112.1,408.7 ,2.013,0.577,0.767  ,3    ,8.78 ,3030,-0.14,1.44,8.0 ,6.585 ,81    ,6.17
A478         ,2000 ,30   ,0.0881,408000 ,155.5,2928.9,1.254,0.704,5.000  ,3    ,11.06,270 ,0.02 ,5.00,0.4 ,4.2028,129   ,1.60
A907         ,1300 ,40   ,0.1603,250929 ,136.9,1887.1,1.556,0.594,4.998  ,3    ,10.19,240 ,0.16 ,5.00,0.4 ,3.2608,208   ,1.48
A1413        ,1800 ,20   ,0.1429,210271 ,195.0,2153.7,1.247,0.661,5.000  ,3    ,7.58 ,1840,0.08 ,4.68,10.0,1.7434,30    ,0.75
A1795        ,1500 ,40   ,0.0622,1251000,38.2 ,682.5 ,0.195,0.491,2.606  ,3    ,9.68 ,550 ,0.00 ,1.63,0.9 ,0.968 ,77    ,1.03
A1991        ,1000 ,10   ,0.0592,257070 ,59.9 ,1064.7,1.735,0.515,5.000  ,3    ,2.83 ,860 ,0.04 ,2.87,4.7 ,1.3584,42    ,2.12
A2029        ,2250 ,20   ,0.0779,631000 ,84.2 ,908.9 ,1.164,0.545,1.669  ,3    ,16.19,3040,-0.03,1.57,5.9 ,1.619 ,93    ,0.48
A2390        ,2500 ,80   ,0.2302,144689 ,308.2,1200.0,1.891,0.658,0.563  ,3    ,19.34,2460,-0.1 ,5.00,10.0,2.3208,214   ,0.08
RX J1159+5531,600  ,10   ,0.0810,7666   ,591.9,640.7 ,1.828,0.838,4.869  ,3    ,3.74 ,100 ,0.09 ,0.77,0.4 ,0.4862,22    ,1.68
MKW 4        ,550  ,5    ,0.0199,7867   ,578.5,595.1 ,1.895,1.119,1.602  ,3    ,2.26 ,100 ,-0.07,5.00,0.5 ,1.921 ,16    ,9.62
USGC S152    ,300  ,20   ,0.0513,1088000,5.8  ,467.5 ,2.612,0.453,3.280  ,3    ,3.24 ,590 ,0.01 ,0.27,0.8 ,1.1988,31    ,3.24
